tweet	15
talk	14
we	14
dependency-bas	14
independ	14
long	14
paramet	14
theori	14
formal	14
develop	14
filter	14
determin	14
pcfg	14
ontolog	14
plan	14
messag	14
situat	14
colloc	14
maxim	14
smooth	14
communic	14
modifi	14
context-sensit	14
edit	14
stack	14
multiword	14
impact	14
up	14
phrasal	14
length	14
coordin	14
templat	14
act	14
instruct	14
posterior	14
rewrit	14
relax	14
task-ori	14
specif	14
integ	14
driven	14
about	14
context-awar	14
point	14
citat	14
dirichlet	14
nativ	14
simplif	14
schema	14
keyphras	14
metaphor	14
autoencod	14
tensor	14
generic	13
memory-bas	13
adject	13
causal	13
difficulti	13
confid	13
posit	13
first	13
script	13
reduct	13
boost	13
phonet	13
aggreg	13
context-depend	13
versus	13
common	13
profil	13
systemat	13
orient	13
disfluenc	13
deriv	13
feature-rich	13
collabor	13
transit	13
loss	13
attent	13
determinist	13
fulli	13
pcfgs	13
end-to-end	13
pivot	13
knowledge-bas	13
document-level	13
narrat	13
chang	13
all	13
reason	12
power	12
choic	12
world	12
confer	12
reader	12
author	12
altern	12
doe	12
enrich	12
clinic	12
properti	12
paradigm	12
need	12
gate	12
hard	12
augment	12
distanc	12
view	12
get	12
fill	12
gaussian	12
matrix	12
cost	12
path	12
connect	12
qa	12
me	12
requir	12
binar	12
consist	12
reconstruct	12
simultan	12
tune	12
multi-domain	12
stanc	12
dual	12
sequence-to-sequ	12
usag	11
influenc	11
graphic	11
research	11
analog	11
group	11
mix	11
free	11
list	11
framenet	11
trainabl	11
named-ent	11
hmm	11
cognat	11
co-train	11
inflect	11
limit	11
realiz	11
empti	11
anteced	11
singl	11
commonsens	11
gap	11
expert	11
multi-parti	11
character-level	11
risk	11
than	11
greedi	11
a*	11
keyword	11
paragraph	11
cross-docu	11
some	11
token	11
span	11
multi-lingu	11
densiti	11
record	11
log	11
massiv	11
two-stag	11
which	11
this	11
anchor	11
belief	11
character	11
multi-label	11
higher-ord	11
eye	11
matter	11
work	11
video	11
multi-level	11
tabl	11
soft	11
but	11
decipher	11
hypernym	11
mechan	11
decept	11
timelin	11
crowd	11
zero-shot	11
slot	11
rnn	11
lstm	11
manag	10
nomin	10
heurist	10
assign	10
predicate-argu	10
within	10
practic	10
marker	10
wsd	10
email	10
compon	10
language-independ	10
handl	10
cohes	10
kernel-bas	10
tree-bas	10
pipelin	10
authorship	10
automata	10
exact	10
trigger	10
virtual	10
principl	10
svm	10
n-best	10
non-loc	10
chain	10
speaker	10
cross	10
captur	10
typolog	10
repres	10
be	10
ad	10
extern	10
readabl	10
look	10
weakly-supervis	10
under	10
sparsiti	10
shift-reduc	10
quantifi	10
sarcasm	10
submodular	10
multi-mod	10
geoloc	10
stock	10
histor	10
persuas	10
amr	10
where	9
go	9
attach	9
explan	9
prosod	9
ocr	9
em	9
special	9
pronunci	9
synthet	9
symbol	9
perspect	9
veri	9
particip	9
initi	9
revis	9
tool	9
advanc	9
cut	9
left-to-right	9
interfac	9
subcategor	9
most	9
strong	9
issu	9
entropy-bas	9
non-nat	9
discret	9
wide-coverag	9
combinatori	9
right	9
valid	9
ner	9
reliabl	9
distinguish	9
easi	9
verif	9
hpsg	9
thesaurus	9
success	9
spontan	9
number	9
precis	9
seed	9
earli	9
paper	9
head	9
rhetor	9
simul	9
among	9
signific	9
rare	9
benchmark	9
differenti	9
asr	9
lemmat	9
low	9
scheme	9
bottom-up	9
spatial	9
agent	9
thread	9
compos	9
sentence-level	9
modal	9
foreign	9
cheap	9
address	9
polici	9
linear-tim	9
pairwis	9
code-switch	9
report	9
movement	9
top-down	9
ideolog	9
scene	9
beam	9
lstms	9
attention-bas	9
math	9
adversari	9
korean	8
diverg	8
small	8
syllabl	8
fragment	8
referenti	8
prosodi	8
distil	8
updat	8
claus	8
cue	8
verbal	8
topolog	8
organ	8
bound	8
np	8
short-term	8
split	8
psycholinguist	8
word-level	8
grapheme-to-phonem	8
recov	8
reus	8
criteria	8
vote	8
bleu	8
redund	8
intern	8
reveal	8
consensus	8
suffix	8
equival	8
count	8
standard	8
disagr	8
separ	8
candid	8
anaphor	8
written	8
region	8
self-train	8
manual	8
speed	8
baselin	8
coarse-to-fin	8
subtre	8
nonparametr	8
seri	8
archiv	8
tree-to-str	8
infinit	8
judgment	8
out	8
mutual	8
unstructur	8
financi	8
literatur	8
faster	8
popul	8
have	8
hypothesi	8
gaze	8
togeth	8
adaptor	8
best	8
addit	8
custom	8
disentangl	8
blog	8
no	8
locat	8
attack	8
latent-vari	8
debat	8
sententi	8
creativ	8
intens	8
conceptu	8
ration	8
prototyp	8
subword	8
surpris	8
comment	8
demograph	8
million	8
multitask	8
rnns	8
real-tim	7
rule-bas	7
themat	7
headlin	7
indic	7
unif	7
chart	7
phonem	7
center	7
teach	7
access	7
vector-spac	7
adjoin	7
semi-structur	7
technic	7
second	7
full	7
introduct	7
american	7
oracl	7
tutor	7
survey	7
examin	7
net	7
auxiliari	7
motiv	7
element	7
algebra	7
salienc	7
penn	7
judgement	7
bracket	7
biograph	7
quantit	7
transformation-bas	7
predictor	7
bay	7
aid	7
passag	7
size	7
coupl	7
ask	7
rival	7
key	7
recal	7
tutori	7
environ	7
trace	7
supersens	7
repair	7
shift	7
pragmat	7
web-bas	7
lattice-bas	7
metadata	7
pyramid	7
distort	7
assist	7
chat	7
humor	7
confus	7
multi-word	7
esl	7
solut	7
propbank	7
legal	7
terminolog	7
salient	7
partit	7
state-of-the-art	7
pseudo	7
k-best	7
brain	7
quasi-synchron	7
book	7
us	7
them	7
creation	7
who	7
gradient	7
revers	7
simplifi	7
crfs	7
page	7
lda	7
co-refer	7
matric	7
decompos	7
idiom	7
nest	7
employ	7
voic	7
